customer_id,location,segment,signup_date
1,Bengaluru,Prime,2024-01-27 09:58:43
2,Ahmedabad,Regular,2023-12-11 05:31:29
3,Kolkata,Prime,2022-02-21 23:37:49
4,Lucknow,Regular,2024-06-26 23:31:53
5,Bengaluru,Regular,2024-04-25 05:24:56
6,Delhi,Prime,2021-02-22 11:46:26
7,Mumbai,Business,2021-11-10 06:09:10
8,Delhi,Regular,2022-01-25 08:06:40
9,Chennai,Regular,2020-01-21 21:53:43
10,Remote,Regular,2022-06-13 11:33:52
11,Mumbai,Business,2021-09-23 04:59:39
12,Bengaluru,Prime,2021-03-02 08:00:32
13,Ahmedabad,Prime,2023-07-30 15:41:15
14,Remote,Regular,2023-05-04 19:25:04
15,Chennai,Regular,2025-06-03 00:54:07
16,Hyderabad,Regular,2022-09-16 03:09:18
17,Chennai,Regular,2021-06-21 14:44:41
18,Remote,Prime,2025-04-25 22:08:50
19,Pune,Regular,2021-07-03 21:16:49
20,Kolkata,Regular,2020-05-21 07:28:51
21,Lucknow,Prime,2023-07-17 01:56:27
22,Delhi,Regular,2025-06-21 21:34:54
23,Hyderabad,Regular,2023-07-31 15:38:29
24,Lucknow,Regular,2021-12-14 20:24:45
25,Chennai,Prime,2021-01-06 11:17:28
26,Ahmedabad,Regular,2024-07-18 07:59:56
27,Delhi,Regular,2025-04-15 17:20:13
28,Hyderabad,Prime,2020-09-24 12:15:45
29,Lucknow,Prime,2022-09-07 11:39:48
30,Delhi,Regular,2020-10-13 22:24:58
31,Delhi,Regular,2021-12-25 11:44:57
32,Hyderabad,Business,2025-06-06 08:41:24
33,Bengaluru,Regular,2020-10-15 15:50:37
34,Kolkata,Prime,2023-03-11 22:39:39
35,Bengaluru,Business,2021-08-01 17:01:35
36,Delhi,Regular,2023-01-06 10:17:43
37,Remote,Regular,2020-04-17 22:25:13
38,Mumbai,Regular,2022-08-05 08:48:42
39,Remote,Regular,2021-02-05 12:09:24
40,Hyderabad,Regular,2023-10-17 02:26:12
41,Delhi,Regular,2023-04-16 17:19:59
42,Delhi,Prime,2021-03-23 04:11:13
43,Ahmedabad,Business,2021-01-13 08:09:03
44,Kolkata,Regular,2020-02-18 17:58:53
45,Ahmedabad,Prime,2021-10-15 12:55:39
46,Hyderabad,Regular,2023-08-15 16:47:44
47,Pune,Regular,2023-06-01 23:04:42
48,Bengaluru,Regular,2021-10-15 19:42:13
49,Ahmedabad,Prime,2025-02-17 10:02:00
50,Hyderabad,Business,2024-09-10 19:55:16
51,Bengaluru,Prime,2022-06-19 07:57:47
52,Hyderabad,Regular,2020-03-27 08:40:42
53,Pune,Regular,2020-03-29 23:06:11
54,Kolkata,Regular,2022-03-04 22:53:11
55,Kolkata,Regular,2023-11-22 18:22:39
56,Hyderabad,Regular,2024-01-09 19:11:32
57,Ahmedabad,Regular,2020-06-19 18:02:17
58,Kolkata,Regular,2023-08-05 04:46:18
59,Mumbai,Regular,2025-04-07 00:44:35
60,Ahmedabad,Regular,2024-06-07 15:14:25
61,Lucknow,Prime,2025-05-13 17:45:04
62,Chennai,Prime,2020-05-16 15:38:41
63,Hyderabad,Business,2021-06-13 13:17:40
64,Hyderabad,Regular,2023-11-25 05:10:53
65,Hyderabad,Regular,2024-06-30 22:50:44
66,Pune,Regular,2021-01-06 16:12:29
67,Hyderabad,Regular,2023-05-29 18:50:10
68,Kolkata,Prime,2025-05-24 01:38:31
69,Kolkata,Regular,2023-08-12 09:20:11
70,Chennai,Prime,2024-03-10 16:32:50
71,Chennai,Prime,2022-05-11 05:36:07
72,Remote,Prime,2021-01-09 13:53:04
73,Ahmedabad,Prime,2020-08-07 08:04:41
74,Kolkata,Prime,2023-04-28 08:42:10
75,Kolkata,Regular,2021-07-02 12:15:12
76,Pune,Prime,2023-07-07 16:39:24
77,Kolkata,Regular,2020-04-17 17:52:28
78,Kolkata,Regular,2024-04-29 13:51:15
79,Remote,Regular,2021-09-13 07:29:43
80,Mumbai,Regular,2021-08-05 21:42:06
81,Remote,Regular,2023-04-14 00:57:47
82,Mumbai,Prime,2024-07-20 16:44:14
83,Remote,Regular,2024-07-05 11:00:32
84,Kolkata,Regular,2021-02-23 23:40:26
85,Remote,Regular,2021-08-21 08:47:17
86,Kolkata,Prime,2020-01-30 14:27:54
87,Kolkata,Regular,2021-02-13 23:03:58
88,Chennai,Regular,2020-01-29 02:30:06
89,Delhi,Regular,2024-01-26 07:20:05
90,Mumbai,Regular,2024-06-23 16:41:48
91,Lucknow,Prime,2020-06-17 23:30:59
92,Ahmedabad,Prime,2020-06-07 08:40:00
93,Ahmedabad,Prime,2023-12-20 07:28:49
94,Remote,Regular,2025-02-19 08:07:13
95,Delhi,Regular,2024-11-18 08:18:01
